Sondering;x;y;z
SW-402;45673;372681;-5.73
SW-403;45677;372619;-6.18
SW-404;45700;372608;-4.01
S501;45624.03;372424.3;6.05
S502;45552.03;372586.03;7.25
S502A;45551.58;372587.15;7.21
S502B;45552.16;372585.42;7.22
S502C;45553.24;372585.8;7.09
S502D;45546.43;372582.08;7.9
S502E;45545.63;372585.39;7.87
S503;45625.83;372517.06;3.69
S504;45764;372527.99;3.74
S505A;45725;372640;3.699
S505B;45725;372640;3.699
S506;45708.91;372196.86;5.69
S506A;45721.14;372209.77;5.79
S506B;45720.73;372210.17;5.79
S507A;45799;372033;5.428
S507B;45799;372033;5.428
S508A;45784;372112;5.626
S508B;45784;372112;5.626
S509A;45936;372245;3.651
S509B;45936;372245;3.651
S509C;45936;372245;3.651
